                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
         1          -263.27355          50.46422        -212.80932
         2          -263.31682          50.50749        -212.80933
         3          -263.35977          50.55044        -212.80933
         4          -263.40237          50.59304        -212.80933
         5          -263.44459          50.63526        -212.80933
         6          -263.48642          50.67709        -212.80933
         7          -263.52783          50.71850        -212.80933
         8          -263.56880          50.75947        -212.80933
         9          -263.60931          50.79998        -212.80933
        10          -263.64934          50.84000        -212.80933
        11          -263.68886          50.87952        -212.80934
        12          -263.72785          50.91852        -212.80934
        13          -263.76630          50.95696        -212.80934
        14          -263.80418          50.99484        -212.80934
        15          -263.84148          51.03214        -212.80934
        16          -263.87817          51.06883        -212.80934
        17          -263.91423          51.10489        -212.80934
        18          -263.94964          51.14030        -212.80934
        19          -263.98438          51.17504        -212.80934
        20          -264.01844          51.20910        -212.80934
        21          -264.05179          51.24244        -212.80934
        22          -264.08441          51.27507        -212.80934
        23          -264.11629          51.30695        -212.80934
        24          -264.14742          51.33807        -212.80935
        25          -264.17776          51.36842        -212.80935
        26          -264.20732          51.39797        -212.80935
        27          -264.23607          51.42672        -212.80935
        28          -264.26401          51.45466        -212.80935
        29          -264.29111          51.48176        -212.80935
        30          -264.31736          51.50801        -212.80935
        31          -264.34273          51.53338        -212.80935
        32          -264.36722          51.55787        -212.80935
        33          -264.39082          51.58147        -212.80935
        34          -264.41352          51.60417        -212.80935
        35          -264.43531          51.62595        -212.80935
        36          -264.45616          51.64681        -212.80935
        37          -264.47608          51.66673        -212.80935
        38          -264.49505          51.68570        -212.80935
        39          -264.51306          51.70371        -212.80935
        40          -264.53011          51.72076        -212.80935
        41          -264.54618          51.73682        -212.80935
        42          -264.56125          51.75190        -212.80935
        43          -264.57534          51.76599        -212.80935
        44          -264.58842          51.77907        -212.80935
        45          -264.60050          51.79115        -212.80935
        46          -264.61157          51.80221        -212.80935
        47          -264.62162          51.81226        -212.80936
        48          -264.63064          51.82129        -212.80936
        49          -264.63863          51.82927        -212.80936
        50          -264.64558          51.83623        -212.80936
        51          -264.65149          51.84214        -212.80936
        52          -264.65635          51.84700        -212.80936
        53          -264.66016          51.85080        -212.80936
        54          -264.66292          51.85356        -212.80936
        55          -264.66461          51.85525        -212.80936
        56          -264.66523          51.85588        -212.80936
        57          -264.66479          51.85543        -212.80936
        58          -264.66327          51.85391        -212.80936
        59          -264.66068          51.85132        -212.80936
        60          -264.65701          51.84766        -212.80936
        61          -264.65227          51.84292        -212.80936
        62          -264.64645          51.83710        -212.80936
        63          -264.63955          51.83020        -212.80936
        64          -264.63157          51.82221        -212.80935
        65          -264.62250          51.81315        -212.80935
        66          -264.61234          51.80299        -212.80935
        67          -264.60110          51.79175        -212.80935
        68          -264.58877          51.77942        -212.80936
        69          -264.57536          51.76600        -212.80936
        70          -264.56085          51.75149        -212.80936
        71          -264.54525          51.73589        -212.80936
        72          -264.52855          51.71919        -212.80936
        73          -264.51076          51.70140        -212.80936
        74          -264.49187          51.68251        -212.80936
        75          -264.47189          51.66253        -212.80936
        76          -264.45082          51.64146        -212.80936
        77          -264.42865          51.61930        -212.80936
        78          -264.40540          51.59604        -212.80936
        79          -264.38105          51.57169        -212.80936
        80          -264.35562          51.54626        -212.80936
        81          -264.32910          51.51974        -212.80936
        82          -264.30150          51.49214        -212.80936
        83          -264.27281          51.46345        -212.80936
        84          -264.24304          51.43369        -212.80936
        85          -264.21221          51.40285        -212.80936
        86          -264.18031          51.37095        -212.80936
        87          -264.14735          51.33799        -212.80936
        88          -264.11333          51.30397        -212.80936
        89          -264.07825          51.26889        -212.80936
        90          -264.04212          51.23276        -212.80936
        91          -264.00496          51.19560        -212.80936
        92          -263.96676          51.15739        -212.80936
        93          -263.92753          51.11817        -212.80936
        94          -263.88729          51.07793        -212.80936
        95          -263.84604          51.03668        -212.80936
        96          -263.80379          50.99442        -212.80936
        97          -263.76055          50.95118        -212.80936
        98          -263.71632          50.90696        -212.80937
        99          -263.67113          50.86177        -212.80936
       100          -263.62500          50.81563        -212.80937
       101          -263.57793          50.76857        -212.80937
       102          -263.52993          50.72057        -212.80936
       103          -263.48103          50.67167        -212.80937
       104          -263.43124          50.62187        -212.80936
       105          -263.38056          50.57119        -212.80936
       106          -263.32902          50.51965        -212.80936
       107          -263.27663          50.46727        -212.80936
       108          -263.22343          50.41407        -212.80936
       109          -263.16942          50.36006        -212.80936
       110          -263.11462          50.30526        -212.80936
       111          -263.05907          50.24971        -212.80936
       112          -263.00277          50.19341        -212.80936
       113          -262.94576          50.13640        -212.80936
       114          -262.88806          50.07871        -212.80935
       115          -262.82969          50.02034        -212.80935
       116          -262.77068          49.96133        -212.80935
       117          -262.71105          49.90170        -212.80935
       118          -262.65083          49.84148        -212.80935
       119          -262.59004          49.78070        -212.80934
       120          -262.52873          49.71939        -212.80934
       121          -262.46692          49.65758        -212.80934
       122          -262.40465          49.59531        -212.80934
       123          -262.34193          49.53260        -212.80934
       124          -262.27881          49.46948        -212.80934
       125          -262.21531          49.40597        -212.80933
       126          -262.15146          49.34214        -212.80933
       127          -262.08733          49.27800        -212.80933
       128          -262.02292          49.21359        -212.80933
       129          -261.95826          49.14894        -212.80932
       130          -261.89341          49.08409        -212.80932
       131          -261.82840          49.01908        -212.80932
       132          -261.76325          48.95394        -212.80932
       133          -261.69802          48.88871        -212.80932
       134          -261.63274          48.82343        -212.80932
       135          -261.56746          48.75814        -212.80931
       136          -261.50221          48.69289        -212.80931
       137          -261.43703          48.62772        -212.80931
       138          -261.37197          48.56266        -212.80931
       139          -261.30707          48.49776        -212.80931
       140          -261.24237          48.43307        -212.80931
       141          -261.17792          48.36862        -212.80930
       142          -261.11376          48.30446        -212.80930
       143          -261.04995          48.24065        -212.80929
       144          -260.98652          48.17723        -212.80929
       145          -260.92353          48.11424        -212.80929
       146          -260.86102          48.05173        -212.80929
       147          -260.79904          47.98976        -212.80929
       148          -260.73764          47.92836        -212.80928
       149          -260.67688          47.86760        -212.80928
       150          -260.61678          47.80751        -212.80927
       151          -260.55741          47.74814        -212.80927
       152          -260.49880          47.68954        -212.80926
       153          -260.44101          47.63175        -212.80926
       154          -260.38409          47.57483        -212.80926
       155          -260.32808          47.51883        -212.80925
       156          -260.27304          47.46378        -212.80925
       157          -260.21901          47.40976        -212.80925
       158          -260.16604          47.35679        -212.80925
       159          -260.11419          47.30494        -212.80924
       160          -260.06350          47.25426        -212.80924
       161          -260.01403          47.20479        -212.80924
       162          -259.96583          47.15659        -212.80924
       163          -259.91893          47.10970        -212.80923
       164          -259.87340          47.06417        -212.80923
       165          -259.82927          47.02004        -212.80923
       166          -259.78659          46.97737        -212.80922
       167          -259.74542          46.93621        -212.80922
       168          -259.70581          46.89659        -212.80922
       169          -259.66779          46.85857        -212.80922
       170          -259.63141          46.82219        -212.80922
       171          -259.59672          46.78751        -212.80921
       172          -259.56375          46.75454        -212.80921
       173          -259.53255          46.72334        -212.80921
